rayon,produit,marque_deduite,code_barre,prix_cession,prix_public,stk_rayon,stk_magasin,stk_global,date_exp,deja_present_en_base,anomalie
HB - BBC,ELUDRILPRO BAIN BOUCHE FL500ML,Eludril,000032536,3767.00,5299.00,2.00,0.00,2.00,31/12/00,Non,
HB - BBC,ELUDRIL PRO BAIN BCHE 200ML,Eludril,000022162,1861.00,2617.00,6.00,0.00,6.00,31/12/00,Non,
HB - BBC,DOLOSEPTYL(S) BDB UNID. 10ML B/10,Doloseptyl,000026930,2239.00,4063.00,1.00,0.00,1.00,31/12/00,Non,
HB - BBC,VERAX BLU BAIN BOUCHE FL120ML,Verax,000030819,993.00,1397.00,1.00,0.00,1.00,31/12/00,Non,
HB - BBC,PARODONTAX BAIN DE BOUCHE 500ML,Parodontax,000020834,3991.00,6956.00,1.00,0.00,1.00,31/12/00,Non,
HB - BBC,BETADINE SOL GARG BAIN BCHE F125ML,Betadine,000022729,957.00,1346.00,2.00,0.00,2.00,31/12/00,Non,
HB - BBC,BUCCOTHYMOL BAIN BCHE FL150ML,Buccothymol,000021053,794.00,1117.00,2.00,0.00,2.00,31/12/00,Non,
HB - BBC,ADNA (S) BDB ACTIF ORAN&MENT/250ML,Adna,000020961,1291.00,2500.00,1.00,0.00,1.00,31/12/00,Non,
HB - BBC,ADNA (S) BDB ANTI-PLAQ MENTHE/250ML,Adna,000025606,1809.00,3300.00,1.00,0.00,1.00,31/12/00,Non,
HB - BBC,"SEPTYL 0,1% BAIN BCHE FL200ML",Septyl,000022328,1214.00,1707.00,2.00,0.00,2.00,31/12/00,Non,
HB - BBC,"SEPTYL 0,1% BAIN BCHE FL80ML",Septyl,000030046,479.00,674.00,1.00,0.00,1.00,31/12/00,Non,
HB - BBC,GUMFORTE BDB MENTHE/200ML,Gum,000021013,1571.00,2900.00,1.00,0.00,1.00,31/12/00,Non,
HB - PATES,ELGYD (D) JR 7-12ANS BUBBLE DTF 50ML,Elgyd,000023792,2396.00,4348.00,1.00,0.00,1.00,31/12/00,Non,
HB - PATES,ELGYD (D) KIDS 3-6ANS FRAISE GIV 50ML,Elgyd,000022480,2216.00,4025.00,1.00,0.00,1.00,31/12/00,Non,
HB - PATES,SIGNAL KIDS 0-6ANS 70ML,Signal,000030091,720.00,1429.00,1.00,0.00,1.00,31/12/00,Non,
HB - PATES,ELGYD (S) BLANCH DENTIF 75ML,Elgyd,000023793,3557.00,5675.00,1.00,0.00,1.00,31/12/00,Non,
HB - PATES,ELGYD (S) DTF ANTIPLAQ 100ML,Elgyd,000021712,2988.00,5219.00,1.00,0.00,1.00,31/12/00,Non,
HB - PATES,ELGYD (S) DTF ANTIPLAQ 75ML,Elgyd,000023398,2753.00,5000.00,1.00,0.00,1.00,31/12/00,Non,
HB - PATES,ELGYD (S) DTF DENTS SENS 75ML,Elgyd,000023794,2973.00,5395.00,1.00,0.00,1.00,31/12/00,Non,
HB - PATES,ELGYD (S) DTF GENC IRRI 75ML,Elgyd,000023795,3967.00,7199.00,1.00,0.00,1.00,31/12/00,Non,
HB - PATES,SIGNAL SOIN FRAICH & BLANCH DENTIF 75ML,Signal,000030098,847.00,1650.00,3.00,0.00,3.00,31/12/00,Non,
HB - PATES,ELGYD (S) DTF PROTEC CARIES 75ML,Elgyd,000022666,2918.00,5295.00,1.00,0.00,1.00,31/12/00,Non,
HB - PATES,ELGYD DTF MULTI ACTIONS/75ML,Elgyd,000023705,3921.00,7125.00,1.00,0.00,1.00,31/12/00,Non,
HB - PATES,PARODONTAX (S) DTF FRAICH INT 75ML,Parodontax,000022746,3869.00,7021.00,1.00,0.00,1.00,31/12/00,Non,
HB - PATES,PARODONTAX (S) PATE GING ORIGINAL 75ML,Parodontax,000021666,3196.00,5799.00,1.00,0.00,1.00,31/12/00,Non,
HB - PATES,PAROGENCYL (S) PR•VENT DTF 75ML,Parogencyl,000022573,2707.00,4912.00,1.00,0.00,1.00,31/12/00,Non,
HB - PATES,SIGNAL HALEINE FRAICHE DENTIF FL/ 75ML,Signal,000031894,847.00,1650.00,6.00,0.00,6.00,31/12/00,Non,
HB - PATES,COLGATE MAXI FRESH BLUE 100ML,Colgate,000026641,932.00,1800.00,6.00,0.00,6.00,31/12/00,Non,
HB - PATES,COLGATE CHARCOAL GENTLE CLEAN 120G,Colgate,000024347,1102.00,2100.00,2.00,0.00,2.00,31/12/00,Non,
HB - PATES,COLGATE TOTAL CHARCOAL 75ML,Colgate,000026643,1356.00,2600.00,6.00,0.00,6.00,31/12/00,Non,
HB - PATES,FLUOCARIL BI 145 BLANCHEUR 2*75ML,Fluocaril,000021650,4017.00,7300.00,1.00,0.00,1.00,31/12/00,Non,
HB - PATES,FLUOCARIL (S) BI 145 BLANCH 075ML,Fluocaril,000023024,2236.00,4050.00,1.00,0.00,1.00,31/12/00,Non,
HB - PATES,FLUOCARIL (S) JR 6-13ANS F-R 75ML,Fluocaril,000023799,2269.00,4117.00,1.00,0.00,1.00,31/12/00,Non,
HB - PATES,FLUOCARIL (S-L) BI 145 MENTHE 075ML,Fluocaril,000027488,2226.00,4050.00,1.00,0.00,1.00,31/12/00,Non,
HB - PATES,ABAAN DTF ALOE VERA/120ML,Abaan,000025544,763.00,1500.00,8.00,0.00,8.00,31/12/00,Non,
HB - PATES,XTAR PATE DENTIF PRO TB 100G,Xtar,000032716,1052.00,2000.00,1.00,0.00,1.00,31/12/00,Non,
HB - PATES,COLGATE MAXI FRESH VERT,Colgate,000031569,932.00,1800.00,6.00,0.00,6.00,31/12/00,Non,
HB - PATES,COLGATE MAXI FRESH ROUGE,Colgate,000023464,932.00,1800.00,2.00,0.00,2.00,31/12/00,Non,
HB - PATES,GUMFORTE DENTIF CHARBON T/100G,Gum,000032739,2547.00,4650.00,1.00,0.00,1.00,31/12/00,Non,
HB - PATES,SIGNAL EXTRA FRAICHEUR 75ML,Signal,000023458,847.00,1650.00,4.00,0.00,4.00,31/12/00,Non,
HB - PATES,COLGATE CLEAN MINT TOTAL,Colgate,000024348,1356.00,2600.00,5.00,0.00,5.00,31/12/00,Non,
HB - PATES,SENSODYNE REPAR ET PROTEG QUOT 75ML,Sensodyne,000022959,2035.00,3692.00,2.00,0.00,2.00,31/12/00,Non,
HB - PATES,SENSODYNE RAPIDE ACTION DENTIF T/75ML,Sensodyne,000023807,2560.00,4645.00,3.00,0.00,3.00,31/12/00,Non,
HB - PATES,GUM DENTIFRCE ACTIVAL 75L,Gum,000031946,1797.00,3260.00,1.00,0.00,1.00,31/12/00,Non,
HB - PATES,FLUOCARIL JUNIOR BUBBLE GEL 6-12 ANS 75ML,Fluocaril,000023806,1932.00,3506.00,1.00,0.00,1.00,31/12/00,Non,
HB - PATES,COREGA POLIDT CRM ADHE MAXI 40G,Corega,000022882,4807.00,8750.00,2.00,0.00,2.00,31/12/00,Non,
HB - PATES,SENSOD (S) MULTI PROTEC 75ML,Sensodyne,000020785,2721.00,3125.00,1.00,0.00,1.00,31/12/00,Non,
HB - PATES,SENSOD (S) REP&PRO BLANCHR 75ML,Sensodyne,000024192,2035.00,3692.00,1.00,0.00,1.00,31/12/00,Non,
HB - PATES,SENSODYNE (S) SOIN BLANCH 24H 75ML,Sensodyne,000021564,1990.00,3610.00,3.00,0.00,3.00,31/12/00,Non,
HB - PATES,COLGATE HERBAL T/140G,Colgate,000024349,932.00,1800.00,6.00,0.00,6.00,31/12/00,Non,
HB - PATES,SENSODYNE SOIN COMPLET 24H75ML,Sensodyne,000022149,1894.00,3450.00,5.00,0.00,5.00,31/12/00,Non,
HB - PATES,GUM DTF JR TUTTI FRUTTI/50ML,Gum,000022567,1544.00,2802.00,1.00,0.00,1.00,31/12/00,Non,
HB - PATES,GUMFORTE (D) DTF GEL T/100G,Gum,000021313,1360.00,2350.00,1.00,0.00,1.00,31/12/00,Non,
HB - PATES,DENTYGEL CHARBON ACTIF 100G,Dentygel,000032966,650.00,1100.00,7.00,0.00,7.00,31/12/00,Non,
HB - PATES,DENTYGEL KIDS 3-6 ANS 70G,Dentygel,000032967,700.00,1200.00,8.00,0.00,8.00,31/12/00,Non,
HB - PATES,SIGNAL ANTI TARTRE SELS MIN DENTIF 75ML,Signal,000024358,847.00,1650.00,6.00,0.00,6.00,31/12/00,Non,
HB - PATES,SIGNAL DENT TRIPLE PROTECTION 140G,Signal,000023457,847.00,1650.00,3.00,0.00,3.00,31/12/00,Non,
HB - PATES,SIGNAL DENT. INTEGRAL8 COCO 75ML,Signal,000021336,847.00,1650.00,3.00,0.00,3.00,31/12/00,Non,
HB - PATES,SIGNAL INTEGRAL8 ACTION INTERDENTAIRE 75ML,Signal,000030081,847.00,1650.00,6.00,0.00,6.00,31/12/00,Non,
HB - PATES,SIGNAL INTEGRAL8 BICARBONATE 75ML,Signal,000030082,847.00,1650.00,4.00,0.00,4.00,31/12/00,Non,
HB - PATES,SIGNAL INTEGRAL8 CHARBON/75ML,Signal,000024359,847.00,1650.00,4.00,0.00,4.00,31/12/00,Non,
HB - PATES,SIGNAL INTEGRAL8 COMPLET DENTIF 75ML,Signal,000030083,847.00,1650.00,3.00,0.00,3.00,31/12/00,Non,
HB - PATES,SIGNAL INTEGRAL8 NETTOYAGE INTENSE/75ML,Signal,000030084,847.00,1650.00,4.00,0.00,4.00,31/12/00,Non,
HB - PATES,SIGNAL INTEGRAL8 SEL ROSE-CAMOMILLE/75ML,Signal,000030085,847.00,1650.00,10.00,0.00,10.00,31/12/00,Non,
