nom_produit,code_barres,categorie_actuelle,sous_categorie_actuelle,proposition_categorie,proposition_sous_categorie,justification,niveau_confiance
BIO BALANCE SS VIT C PURE ACID ASCORBIQ 30ML,000032412,Soins du corps,Autres soins corps,Soins du visage,Sérums,« SS...VIT C PURE ACID ASCORBIQ 30ML » : ingrédient (vitamine C/acide ascorbique) et format 30ML typiques d'un sérum visage ; « SS » pourrait signifier « Sérum Soin »,Moyenne
GEL DE DOUCHE BODY FASHION 850ML,000030294,Soins du corps,Autres soins corps,Hygiène & savons,Gels & huiles de douche,« GEL DE DOUCHE » explicite dans le nom — non détecté initialement car « DE » sépare GEL et DOUCHE dans le texte source,Élevée
BUM BUM GEL VOLU FESSIER 200ML,000032676,Soins du corps,Autres soins corps,Soins du corps,Raffermissants corps,« GEL VOLU FESSIER » = gel volumateur/raffermissant fessier — soin corps explicite,Élevée
AVENE ULTRA-FLUID 50+50ML,000024135,Soins du corps,Autres soins corps,À confirmer,,« ULTRA-FLUID 50+50ML » ne comporte aucune mention SPF/solaire/visage/corps dans le nom transcrit — une classification solaire supposerait une connaissance de la gamme Avène non présente dans le document,Faible
BIO BALANCE CR SUP HD ADV NIGH CERAMID NP0.2%-50ML,000032829,Soins du corps,Autres soins corps,Soins du visage,Crèmes visage,"« CR SUP...NIGH...CERAMID...50ML » = crème de nuit à céramides, format 50ML typique d'un soin visage — non détecté car abrégé « CR » (pas « CREM »)",Moyenne
BIO BALANCE CR SUP PLUMP HYDRA UR 50ML,000032830,Soins du corps,Autres soins corps,Soins du visage,Crèmes visage,"« CR SUP PLUMP HYDRA...50ML » = crème repulpante hydratante, format 50ML typique visage",Moyenne
CHATEAU ROUGE CR CONCENTRE UNI VISAGE T/50ML,000031259,Soins du corps,Autres soins corps,Soins du visage,Crèmes visage,« VISAGE » explicitement présent dans le nom — non détecté car « CR » abrégé au lieu de « CREME/CRÈME »,Élevée
CHATEAU ROUGE CR PREST JOUR UNI T50ML,000031260,Soins du corps,Autres soins corps,Soins du visage,Crèmes visage,"« CR PREST JOUR UNI T50ML » = crème de jour, même gamme Château Rouge que le produit voisin qui mentionne « VISAGE » explicitement",Moyenne
BIO BALANCE CR SUP GLOW 3-0 ETHYLASC 5%+ACIDF1%,000032443,Soins du corps,Autres soins corps,Soins du visage,Crèmes visage,"« CR SUP GLOW...ETHYLASC...ACIDF1% » = crème éclat à base d'acide ascorbique éthylé, format soin visage",Moyenne
BIO BALANCE CR YEUX SUP HD AUCOLAGEN& VIT C20ML,000032442,Soins du corps,Autres soins corps,Soins du visage,Contour des yeux,« YEUX » explicitement présent dans le nom — non détecté car « CR » abrégé au lieu de « CREME/CRÈME »,Élevée
