produit,code-barres,categorie,sous_categorie,justification
ELUDRILPRO BAIN BOUCHE FL500ML,000032536,Hygiène bucco-dentaire,Bains de bouche,rayon PDF « HB - BBC » (Bains de bouche)
ELUDRIL PRO BAIN BCHE 200ML,000022162,Hygiène bucco-dentaire,Bains de bouche,rayon PDF « HB - BBC » (Bains de bouche)
DOLOSEPTYL(S) BDB UNID. 10ML B/10,000026930,Hygiène bucco-dentaire,Bains de bouche,rayon PDF « HB - BBC » (Bains de bouche)
VERAX BLU BAIN BOUCHE FL120ML,000030819,Hygiène bucco-dentaire,Bains de bouche,rayon PDF « HB - BBC » (Bains de bouche)
PARODONTAX BAIN DE BOUCHE 500ML,000020834,Hygiène bucco-dentaire,Bains de bouche,rayon PDF « HB - BBC » (Bains de bouche)
BETADINE SOL GARG BAIN BCHE F125ML,000022729,Hygiène bucco-dentaire,Bains de bouche,rayon PDF « HB - BBC » (Bains de bouche)
BUCCOTHYMOL BAIN BCHE FL150ML,000021053,Hygiène bucco-dentaire,Bains de bouche,rayon PDF « HB - BBC » (Bains de bouche)
ADNA (S) BDB ACTIF ORAN&MENT/250ML,000020961,Hygiène bucco-dentaire,Bains de bouche,rayon PDF « HB - BBC » (Bains de bouche)
ADNA (S) BDB ANTI-PLAQ MENTHE/250ML,000025606,Hygiène bucco-dentaire,Bains de bouche,rayon PDF « HB - BBC » (Bains de bouche)
"SEPTYL 0,1% BAIN BCHE FL200ML",000022328,Hygiène bucco-dentaire,Bains de bouche,rayon PDF « HB - BBC » (Bains de bouche)
"SEPTYL 0,1% BAIN BCHE FL80ML",000030046,Hygiène bucco-dentaire,Bains de bouche,rayon PDF « HB - BBC » (Bains de bouche)
GUMFORTE BDB MENTHE/200ML,000021013,Hygiène bucco-dentaire,Bains de bouche,rayon PDF « HB - BBC » (Bains de bouche)
ELGYD (D) JR 7-12ANS BUBBLE DTF 50ML,000023792,Hygiène bucco-dentaire,Dentifrices,rayon PDF « HB - PATES » (Pâtes dentifrices)
ELGYD (D) KIDS 3-6ANS FRAISE GIV 50ML,000022480,Hygiène bucco-dentaire,Dentifrices,rayon PDF « HB - PATES » (Pâtes dentifrices)
SIGNAL KIDS 0-6ANS 70ML,000030091,Hygiène bucco-dentaire,Dentifrices,rayon PDF « HB - PATES » (Pâtes dentifrices)
ELGYD (S) BLANCH DENTIF 75ML,000023793,Hygiène bucco-dentaire,Dentifrices,rayon PDF « HB - PATES » (Pâtes dentifrices)
ELGYD (S) DTF ANTIPLAQ 100ML,000021712,Hygiène bucco-dentaire,Dentifrices,rayon PDF « HB - PATES » (Pâtes dentifrices)
ELGYD (S) DTF ANTIPLAQ 75ML,000023398,Hygiène bucco-dentaire,Dentifrices,rayon PDF « HB - PATES » (Pâtes dentifrices)
ELGYD (S) DTF DENTS SENS 75ML,000023794,Hygiène bucco-dentaire,Dentifrices,rayon PDF « HB - PATES » (Pâtes dentifrices)
ELGYD (S) DTF GENC IRRI 75ML,000023795,Hygiène bucco-dentaire,Dentifrices,rayon PDF « HB - PATES » (Pâtes dentifrices)
SIGNAL SOIN FRAICH & BLANCH DENTIF 75ML,000030098,Hygiène bucco-dentaire,Dentifrices,rayon PDF « HB - PATES » (Pâtes dentifrices)
ELGYD (S) DTF PROTEC CARIES 75ML,000022666,Hygiène bucco-dentaire,Dentifrices,rayon PDF « HB - PATES » (Pâtes dentifrices)
ELGYD DTF MULTI ACTIONS/75ML,000023705,Hygiène bucco-dentaire,Dentifrices,rayon PDF « HB - PATES » (Pâtes dentifrices)
PARODONTAX (S) DTF FRAICH INT 75ML,000022746,Hygiène bucco-dentaire,Dentifrices,rayon PDF « HB - PATES » (Pâtes dentifrices)
PARODONTAX (S) PATE GING ORIGINAL 75ML,000021666,Hygiène bucco-dentaire,Dentifrices,rayon PDF « HB - PATES » (Pâtes dentifrices)
PAROGENCYL (S) PR•VENT DTF 75ML,000022573,Hygiène bucco-dentaire,Dentifrices,rayon PDF « HB - PATES » (Pâtes dentifrices)
