produit,code-barres,prix,marque,stock,sku,categorie,sous_categorie,marque_a_confirmer,prix_a_confirmer
ELUDRILPRO BAIN BOUCHE FL500ML,000032536,5299.00,Eludril,2.00,THIAALA-000001,Hygiène bucco-dentaire,Bains de bouche,,
ELUDRIL PRO BAIN BCHE 200ML,000022162,2617.00,Eludril,6.00,THIAALA-000002,Hygiène bucco-dentaire,Bains de bouche,,
DOLOSEPTYL(S) BDB UNID. 10ML B/10,000026930,4063.00,Doloseptyl,1.00,THIAALA-000003,Hygiène bucco-dentaire,Bains de bouche,,
VERAX BLU BAIN BOUCHE FL120ML,000030819,1397.00,Verax,1.00,THIAALA-000004,Hygiène bucco-dentaire,Bains de bouche,,
PARODONTAX BAIN DE BOUCHE 500ML,000020834,6956.00,Parodontax,1.00,THIAALA-000005,Hygiène bucco-dentaire,Bains de bouche,,
BETADINE SOL GARG BAIN BCHE F125ML,000022729,1346.00,Betadine,2.00,THIAALA-000006,Hygiène bucco-dentaire,Bains de bouche,,
BUCCOTHYMOL BAIN BCHE FL150ML,000021053,1117.00,Buccothymol,2.00,THIAALA-000007,Hygiène bucco-dentaire,Bains de bouche,,
ADNA (S) BDB ACTIF ORAN&MENT/250ML,000020961,2500.00,Adna,1.00,THIAALA-000008,Hygiène bucco-dentaire,Bains de bouche,,
ADNA (S) BDB ANTI-PLAQ MENTHE/250ML,000025606,3300.00,Adna,1.00,THIAALA-000009,Hygiène bucco-dentaire,Bains de bouche,,
"SEPTYL 0,1% BAIN BCHE FL200ML",000022328,1707.00,Septyl,2.00,THIAALA-000010,Hygiène bucco-dentaire,Bains de bouche,,
"SEPTYL 0,1% BAIN BCHE FL80ML",000030046,674.00,Septyl,1.00,THIAALA-000011,Hygiène bucco-dentaire,Bains de bouche,,
GUMFORTE BDB MENTHE/200ML,000021013,2900.00,Gum,1.00,THIAALA-000012,Hygiène bucco-dentaire,Bains de bouche,,
ELGYD (D) JR 7-12ANS BUBBLE DTF 50ML,000023792,4348.00,Elgyd,1.00,THIAALA-000013,Hygiène bucco-dentaire,Dentifrices,,
ELGYD (D) KIDS 3-6ANS FRAISE GIV 50ML,000022480,4025.00,Elgyd,1.00,THIAALA-000014,Hygiène bucco-dentaire,Dentifrices,,
SIGNAL KIDS 0-6ANS 70ML,000030091,1429.00,Signal,1.00,THIAALA-000015,Hygiène bucco-dentaire,Dentifrices,,
ELGYD (S) BLANCH DENTIF 75ML,000023793,5675.00,Elgyd,1.00,THIAALA-000016,Hygiène bucco-dentaire,Dentifrices,,
ELGYD (S) DTF ANTIPLAQ 100ML,000021712,5219.00,Elgyd,1.00,THIAALA-000017,Hygiène bucco-dentaire,Dentifrices,,
ELGYD (S) DTF ANTIPLAQ 75ML,000023398,5000.00,Elgyd,1.00,THIAALA-000018,Hygiène bucco-dentaire,Dentifrices,,
ELGYD (S) DTF DENTS SENS 75ML,000023794,5395.00,Elgyd,1.00,THIAALA-000019,Hygiène bucco-dentaire,Dentifrices,,
ELGYD (S) DTF GENC IRRI 75ML,000023795,7199.00,Elgyd,1.00,THIAALA-000020,Hygiène bucco-dentaire,Dentifrices,,
SIGNAL SOIN FRAICH & BLANCH DENTIF 75ML,000030098,1650.00,Signal,3.00,THIAALA-000021,Hygiène bucco-dentaire,Dentifrices,,
ELGYD (S) DTF PROTEC CARIES 75ML,000022666,5295.00,Elgyd,1.00,THIAALA-000022,Hygiène bucco-dentaire,Dentifrices,,
ELGYD DTF MULTI ACTIONS/75ML,000023705,7125.00,Elgyd,1.00,THIAALA-000023,Hygiène bucco-dentaire,Dentifrices,,
PARODONTAX (S) DTF FRAICH INT 75ML,000022746,7021.00,Parodontax,1.00,THIAALA-000024,Hygiène bucco-dentaire,Dentifrices,,
PARODONTAX (S) PATE GING ORIGINAL 75ML,000021666,5799.00,Parodontax,1.00,THIAALA-000025,Hygiène bucco-dentaire,Dentifrices,,
PAROGENCYL (S) PR•VENT DTF 75ML,000022573,4912.00,Parogencyl,1.00,THIAALA-000026,Hygiène bucco-dentaire,Dentifrices,,
SIGNAL HALEINE FRAICHE DENTIF FL/ 75ML,000031894,1650.00,Signal,6.00,THIAALA-000027,Hygiène bucco-dentaire,Dentifrices,,
COLGATE MAXI FRESH BLUE 100ML,000026641,1800.00,Colgate,6.00,THIAALA-000028,Hygiène bucco-dentaire,Dentifrices,,
COLGATE CHARCOAL GENTLE CLEAN 120G,000024347,2100.00,Colgate,2.00,THIAALA-000029,Hygiène bucco-dentaire,Dentifrices,,
COLGATE TOTAL CHARCOAL 75ML,000026643,2600.00,Colgate,6.00,THIAALA-000030,Hygiène bucco-dentaire,Dentifrices,,
FLUOCARIL BI 145 BLANCHEUR 2*75ML,000021650,7300.00,Fluocaril,1.00,THIAALA-000031,Hygiène bucco-dentaire,Dentifrices,,
FLUOCARIL (S) BI 145 BLANCH 075ML,000023024,4050.00,Fluocaril,1.00,THIAALA-000032,Hygiène bucco-dentaire,Dentifrices,,
FLUOCARIL (S) JR 6-13ANS F-R 75ML,000023799,4117.00,Fluocaril,1.00,THIAALA-000033,Hygiène bucco-dentaire,Dentifrices,,
FLUOCARIL (S-L) BI 145 MENTHE 075ML,000027488,4050.00,Fluocaril,1.00,THIAALA-000034,Hygiène bucco-dentaire,Dentifrices,,
ABAAN DTF ALOE VERA/120ML,000025544,1500.00,Abaan,8.00,THIAALA-000035,Hygiène bucco-dentaire,Dentifrices,,
XTAR PATE DENTIF PRO TB 100G,000032716,2000.00,Xtar,1.00,THIAALA-000036,Hygiène bucco-dentaire,Dentifrices,,
COLGATE MAXI FRESH VERT,000031569,1800.00,Colgate,6.00,THIAALA-000037,Hygiène bucco-dentaire,Dentifrices,,
COLGATE MAXI FRESH ROUGE,000023464,1800.00,Colgate,2.00,THIAALA-000038,Hygiène bucco-dentaire,Dentifrices,,
GUMFORTE DENTIF CHARBON T/100G,000032739,4650.00,Gum,1.00,THIAALA-000039,Hygiène bucco-dentaire,Dentifrices,,
SIGNAL EXTRA FRAICHEUR 75ML,000023458,1650.00,Signal,4.00,THIAALA-000040,Hygiène bucco-dentaire,Dentifrices,,
COLGATE CLEAN MINT TOTAL,000024348,2600.00,Colgate,5.00,THIAALA-000041,Hygiène bucco-dentaire,Dentifrices,,
SENSODYNE REPAR ET PROTEG QUOT 75ML,000022959,3692.00,Sensodyne,2.00,THIAALA-000042,Hygiène bucco-dentaire,Dentifrices,,
SENSODYNE RAPIDE ACTION DENTIF T/75ML,000023807,4645.00,Sensodyne,3.00,THIAALA-000043,Hygiène bucco-dentaire,Dentifrices,,
GUM DENTIFRCE ACTIVAL 75L,000031946,3260.00,Gum,1.00,THIAALA-000044,Hygiène bucco-dentaire,Dentifrices,,
FLUOCARIL JUNIOR BUBBLE GEL 6-12 ANS 75ML,000023806,3506.00,Fluocaril,1.00,THIAALA-000045,Hygiène bucco-dentaire,Dentifrices,,
COREGA POLIDT CRM ADHE MAXI 40G,000022882,8750.00,Corega,2.00,THIAALA-000046,Hygiène bucco-dentaire,Dentifrices,,
SENSOD (S) MULTI PROTEC 75ML,000020785,3125.00,Sensodyne,1.00,THIAALA-000047,Hygiène bucco-dentaire,Dentifrices,,
SENSOD (S) REP&PRO BLANCHR 75ML,000024192,3692.00,Sensodyne,1.00,THIAALA-000048,Hygiène bucco-dentaire,Dentifrices,,
SENSODYNE (S) SOIN BLANCH 24H 75ML,000021564,3610.00,Sensodyne,3.00,THIAALA-000049,Hygiène bucco-dentaire,Dentifrices,,
COLGATE HERBAL T/140G,000024349,1800.00,Colgate,6.00,THIAALA-000050,Hygiène bucco-dentaire,Dentifrices,,
SENSODYNE SOIN COMPLET 24H75ML,000022149,3450.00,Sensodyne,5.00,THIAALA-000051,Hygiène bucco-dentaire,Dentifrices,,
GUM DTF JR TUTTI FRUTTI/50ML,000022567,2802.00,Gum,1.00,THIAALA-000052,Hygiène bucco-dentaire,Dentifrices,,
GUMFORTE (D) DTF GEL T/100G,000021313,2350.00,Gum,1.00,THIAALA-000053,Hygiène bucco-dentaire,Dentifrices,,
DENTYGEL CHARBON ACTIF 100G,000032966,1100.00,Dentygel,7.00,THIAALA-000054,Hygiène bucco-dentaire,Dentifrices,,
DENTYGEL KIDS 3-6 ANS 70G,000032967,1200.00,Dentygel,8.00,THIAALA-000055,Hygiène bucco-dentaire,Dentifrices,,
SIGNAL ANTI TARTRE SELS MIN DENTIF 75ML,000024358,1650.00,Signal,6.00,THIAALA-000056,Hygiène bucco-dentaire,Dentifrices,,
SIGNAL DENT TRIPLE PROTECTION 140G,000023457,1650.00,Signal,3.00,THIAALA-000057,Hygiène bucco-dentaire,Dentifrices,,
SIGNAL DENT. INTEGRAL8 COCO 75ML,000021336,1650.00,Signal,3.00,THIAALA-000058,Hygiène bucco-dentaire,Dentifrices,,
SIGNAL INTEGRAL8 ACTION INTERDENTAIRE 75ML,000030081,1650.00,Signal,6.00,THIAALA-000059,Hygiène bucco-dentaire,Dentifrices,,
SIGNAL INTEGRAL8 BICARBONATE 75ML,000030082,1650.00,Signal,4.00,THIAALA-000060,Hygiène bucco-dentaire,Dentifrices,,
SIGNAL INTEGRAL8 CHARBON/75ML,000024359,1650.00,Signal,4.00,THIAALA-000061,Hygiène bucco-dentaire,Dentifrices,,
SIGNAL INTEGRAL8 COMPLET DENTIF 75ML,000030083,1650.00,Signal,3.00,THIAALA-000062,Hygiène bucco-dentaire,Dentifrices,,
SIGNAL INTEGRAL8 NETTOYAGE INTENSE/75ML,000030084,1650.00,Signal,4.00,THIAALA-000063,Hygiène bucco-dentaire,Dentifrices,,
SIGNAL INTEGRAL8 SEL ROSE-CAMOMILLE/75ML,000030085,1650.00,Signal,10.00,THIAALA-000064,Hygiène bucco-dentaire,Dentifrices,,
SIGNAL JUNIOR 6-13ANS 75ML,000030087,1950.00,Signal,4.00,THIAALA-000065,Hygiène bucco-dentaire,Dentifrices,,
BIO BALANCE SS VIT C PURE ACID ASCORBIQ 30ML,000032412,10800.00,Bio Balance,1.00,THIAALA-000066,Soins du visage,Sérums,NON,
CERAVE SOIN CONCENTRE ANTI IMPERF 40ML,000023737,14650.00,CeraVe,1.00,THIAALA-000067,Soins du visage,Soins ciblés (imperfections/acné),,
BALMY POUF BAIN MEDIUM,000032517,1450.00,Balmy,1.00,THIAALA-000068,Accessoires,,,
BABYMED EAU DE COLOGNE 500ML,000025945,2350.00,Babymed,1.00,THIAALA-000069,Bébé & maternité,,,
BABYMED GEL LAVANT DOUCEUR 800ML,000025946,2900.00,Babymed,3.00,THIAALA-000070,Bébé & maternité,,,
BABYMED LAIT DE TOILETTE 800ML,000025949,2600.00,Babymed,3.00,THIAALA-000071,Bébé & maternité,,,
BABYMED LINGETTES/72,000024346,1800.00,Babymed,2.00,THIAALA-000072,Bébé & maternité,,,
BIOLANE LAIT CORP ED LIM 750ML,000032546,12800.00,Biolane,1.00,THIAALA-000073,Bébé & maternité,,,
BYPHASSE Q10 CONTOUR DES YEUX 20ML,000031910,6201.00,Byphasse,3.00,THIAALA-000074,Soins du visage,Contour des yeux,,
