marque_proposee,nb_produits,exemple_produit_1,exemple_produit_2,statut
IAP (parfums génériques),36,IAP BRUM CHEV& CORPS 100ML OCEAN BLISFRASCO,IAP BRUME CHEV&CORPS 100ML GOLDEN SAMBA FRASCO,à valider
Mayana,25,MAYANA CREME GOMMANTE EXFOLIANTE,CREME SOLAIRE MAYANA SPF 50,à valider
La Roche-Posay,18,CICAPLAST (S) LEVRES 7.5ML,LRP EFFACLAR K+ S RENO 40ML,à valider
Topicrem,16,TOPICREM MELA LAIT UNIF 200ML,TOPICREM ULTRA HYDR HUILE DOUCE F/1L,à valider
Signal,14,SIGNAL KIDS 0-6ANS 70ML,SIGNAL SOIN FRAICH & BLANCH DENTIF 75ML,à valider
Nivea,14,NIVEA LAIT PERFECT ET RADIANT FL/400ML,NIVEA LABELLO FRAISE STICK 4.8G,à valider
Evoluderm,13,EVOLUDERM CRM MAIN NOURISST BEURRE DE CACAO T/150,EVOLUDERM GOMMAGE EXF PECHE 150ML,à valider
MKL,13,MKL GEL DOUCH LAIT D'ANNESS GERS,MKL GEL DOUCH MONOI TAHITI,à valider
Biolane,12,BIOLANE LAIT CORP ED LIM 750ML,BIOLANE LAIT CORPS HYDRA 350ML,à valider
Genskin,11,GENSKIN LOTIONHYDRVISAGE/CORPS T/225ML,GENSKIN CRM ECLAT NOURIS 250G,à valider
CeraVe,10,CERAVE SOIN CONCENTRE ANTI IMPERF 40ML,CERAVE LAIT HYDRA F/473ML,à valider
Dove,10,DOVE LAIT INTENSE CARE FL/400ML,DOVE LAITINTENSE CARE /250ML,à valider
Laino,10,LAINO SAVON MARSEIL 150G,LAINO STICK LEVRE CIRE D'ABEILLE 4G,à valider
Françoise Bedon,10,FRANCOISE BEDON SAVON PUISSANCE,FRANCOISE BEDON SAVON ROYAL,à valider
Mixa,10,MIXA HUILE ANTI VERGETURES 100ML,MIXA SERUM CONCENTRE ANTI-TACHES 30ML,à valider
Uriage,10,URIAGE CRM MAIN T/50ML,URIAGE GEL SURGRAS DERMATO 500ML (S),à valider
Elgyd,9,ELGYD (D) JR 7-12ANS BUBBLE DTF 50ML,ELGYD (D) KIDS 3-6ANS FRAISE GIV 50ML,à valider
Clairissime,8,CLAIRISSIME GOLD SERUM ECLAIR F/50ML,CLAIRISSIME LAIT ECLAIR 500ML SK,à valider
Colgate,7,COLGATE MAXI FRESH BLUE 100ML,COLGATE CHARCOAL GENTLE CLEAN 120G,à valider
Avène,7,AVENE CLEAN HYDRA/ CLEAN AC 40ML 536874,AVENE ULTRA-FLUID 50+50ML,à valider
Sensodyne,6,SENSODYNE REPAR ET PROTEG QUOT 75ML,SENSODYNE RAPIDE ACTION DENTIF T/75ML,à valider
DM,6,DM HUILE CLOU DE GIROFLE 60ML,DM HUIL AVOCAT BIO FL 60ML,à valider
Shield,6,SHIELD LINGETTES,SHIELD LOTION 200ML,à valider
Vidoxa,6,VIDOXA LAIT HYDRATANT UNIFIANT - 400ML,VIDOXA SERUM ANTI TACHES - 30ML,à valider
Gum,5,GUMFORTE BDB MENTHE/200ML,GUMFORTE DENTIF CHARBON T/100G,à valider
Fluocaril,5,FLUOCARIL BI 145 BLANCHEUR 2*75ML,FLUOCARIL (S) BI 145 BLANCH 075ML,à valider
Babymed,5,BABYMED EAU DE COLOGNE 500ML,BABYMED GEL LAVANT DOUCEUR 800ML,à valider
Brumes Exotiques,5,BRUMES EXOTIQUES CARAIBES 250ML,BRUMES EXOTIQUES HAWAI 250ML,à valider
Ducray,5,DUCRAY KERACNYL 50+FLUIDE CR T/50ML,DUCRAY (S) KERACNYL GEL/400ML,à valider
Byphasse,4,BYPHASSE Q10 CONTOUR DES YEUX 20ML,BYPHASSE LAIT ECL BLE FL/500ML,à valider
AMT,4,AMT SAVON BAOBAB 148G,AMT SAVON BISSAP 148G,à valider
Neutrogena,4,NEUTROGENA FORM NORV LAIT APAIS ET REPAR 250ML,NEUTROGENA CALME CURCUMA BRUME 1APAIS SPRAY 125ML,à valider
SVR,4,SVR SEBIACLEAR ACTIV+RENO GEL CREM 40L,SVR SEBIACLEA CRM SPF50/40ML,à valider
Gilbert,4,GILBERT HYFAC WOMAN EAU MICELL 200 ML,GILBERT HYFAC CREM LEGERE 40L,à valider
Klorane,4,KL BB PACK LAIT +PEIT BRAIN+LINGETT+SAV OFF,KLORANE BB LAIT DE TOIL. 750ML,à valider
Malibu,4,MALIBU LOTION LAIT SOLAIRE SPF 20 FL/200ML,MALIBU LOTION SOLAIRE SPF 30 FL/200ML,à valider
(générique parfum),4,PARIS CHIC EDP 100ML,202 TERRE D'HERMES 50ML,à valider
Parodontax,3,PARODONTAX BAIN DE BOUCHE 500ML,PARODONTAX (S) DTF FRAICH INT 75ML,à valider
Balmy,3,BALMY POUF BAIN MEDIUM,BALMY POUF BAIN AU SAVON BLANC,à valider
Château Rouge,3,CHATEAU ROUGE HUILE DIVINE UNIF HY,CHATEAU ROUGE CR CONCENTRE UNI VISAGE T/50ML,à valider
"(accessoire, sans marque)",3,COTON TIGE BB B/56,COTON DISQUES A DEMAQ CLEAQ S/100D,à valider
Sivoderm,3,SIVODERM LOTION ANTI ACNE,SIVODERM GEL LAVANT EXPERT,à valider
Sebionex,3,SEBIONEX GEL MOUS PURIF 200ML,SEBIONEX HYDRA CRM/40ML,à valider
Eludril,2,ELUDRILPRO BAIN BOUCHE FL500ML,ELUDRIL PRO BAIN BCHE 200ML,à valider
Adna,2,ADNA (S) BDB ACTIF ORAN&MENT/250ML,ADNA (S) BDB ANTI-PLAQ MENTHE/250ML,à valider
Septyl,2,"SEPTYL 0,1% BAIN BCHE FL200ML","SEPTYL 0,1% BAIN BCHE FL80ML",à valider
Dentygel,2,DENTYGEL CHARBON ACTIF 100G,DENTYGEL KIDS 3-6 ANS 70G,à valider
Bioderma,2,ATODERM GEL DOUCHE 1L (BIODERMA),ATODERM HLE DE DOUCHE 1L (BIODERMA),à valider
Depiwhite,2,DEPIWHITE (S) ACM CONTOUR YEUX 15ML,DEPIWHITE (S-U) LAIT CORPS •CLAI 500ML,à valider
Dam Natur,2,DAM NATUR HUIL POUSS CHEVEUX 125MML,DAM NATUR HUIL POUSS RAPID BAR B30ML,à valider
